tweetid,pos,neg,posSum,negSum
1129404696463122432,158,0,4780,65
1129356115936980993,137,0,3459,67
1129080580342259717,83,0,2765,13
1129020280481943557,85,0,4379,40
1128728080531509250,28,0,1635,22
1128664730091098112,55,0,1821,17
1128363256559669255,165,0,5682,32
1127929843784482816,32,0,1428,16
1127659317690286080,70,0,2543,43
1127564974149259264,23,0,712,1
1127425504896868353,39,0,1355,17
1127274740253696000,86,0,3892,27
1127200960244322309,56,0,3332,32
1126872769029918722,55,0,1934,26
1126832172097245185,95,0,3932,44
1126535773229080577,73,0,2318,42
1126183359682629632,5,0,425,6
1126180403725963264,70,0,2311,28
1126081288220360704,196,0,7432,91
1125831292887687168,50,0,1864,14
1125502949587812352,11,0,476,6
1125459862283067392,99,0,4854,78
1125389568163897344,179,0,7906,113
1125371924266258433,62,0,2814,33
1125340211108511744,191,0,7116,74
1125056080327979009,87,0,4065,33
1124715366381494272,186,1,8633,87
1124356453840707586,168,0,6368,52
1124245697006534656,44,0,1888,39
1123947059571306496,63,0,2774,28
1123576403432177664,174,0,6631,80
1123554199919386628,127,0,5238,71
1123203724183314432,202,0,7498,72
1122489454789365760,108,0,4762,67
1122124740557246465,114,0,3994,48
1122082051212107777,30,0,1944,39
1121781856268115973,12,0,910,14
1121754741304954881,68,0,2258,23
1121742457543319553,196,0,6691,89
1121732017853534214,161,0,5171,81
1121430617999249408,153,0,5942,65
1121052106050473985,83,0,3918,22
1120707963554078720,129,0,3113,75
1120345029145452548,79,0,3008,49
1119978925684400129,179,0,7007,89
1119582047838834688,65,0,2742,23
1119556781624168448,171,0,4323,40
1119198652449292289,85,0,3429,52
1118846711261216769,245,0,9426,100
1118512231891775488,169,0,7206,90
1118426870868054016,46,0,1412,15
1118183682790047744,25,0,1008,11
1118141017084104704,176,0,4420,54
1117655410524205057,145,0,6331,44
1117437573687848961,65,0,2535,33
1117393839420059650,210,0,7853,44
1117084055533707264,141,0,3705,123
1117036608497377282,41,0,2425,13
1116717611423797248,42,0,1248,14
1116644301180633088,104,0,3837,33
1116349745977544705,21,0,794,9
1116303540824289282,82,1,3189,53
1115978199463288834,60,0,2126,23
1115944603784503296,150,0,5018,93
1115646166308413440,28,0,1530,82
1115579677937164288,162,0,6443,44
1115258633703575552,29,0,823,9
1115231219875287041,103,0,4132,58
1114925311664316418,234,0,8660,119
1114878018068070400,36,0,1122,23
1114876106690240513,8,0,268,0
1114563192569593856,186,0,7473,61
1114484345929117702,62,0,2321,11
1114455584315772928,19,0,1143,12
1114168484932608006,89,0,3603,46
1114153632272977920,34,0,1088,7
1114089410310676480,85,0,2821,28
1113838077552857089,32,0,2014,38
1113488188989943808,171,0,4246,44
1113457838569992192,68,0,2779,21
1113422112310603777,20,0,544,2
1113413559621439489,19,0,754,8
1113079034097926144,135,0,4757,34
1113034783083413504,134,0,4347,67
1113007572477513728,18,0,775,23
1112702099194896384,148,0,3402,50
1112626198969024514,181,0,7178,74
1112410036297494528,82,0,3036,56
1112372123782316033,175,0,6478,67
